year,pressure
109,6
109,6
109,5
109,7
110,6
108,9
108,5
107,9
108,7
107,7
109,5
109,5
110,7
106,5
107,4
109,5
108,6
108,8
110,7
109,7
109,4
110,4
109,4
110,5
110,4
110,5
110,8
110,5
110,8
110,7
109,10
109,8
109,9
109,7
109,5
110,4
109,6
110,5
110,6
110,7
108,4
108,6
108,7
108,7
108,2
109,5
110,8
110,6
109,1
108,8
107,7
109,5
110,7
110,8
110,10
108,7
108,6
109,7
107,10
110,7
108,6
108,9
108,7
109,7
108,7
108,7
106,8
108,7
108,8
108,7
107,5
107,8
107,4
107,5
107,8
107,0
107,7
107,8
108,9
110,6
108,7
106,3
108,5
